Rank,Word,Freq,Caps
859,career,107782,0.04
860,piece,107778,0.02
861,watching,107723,0.05
862,created,107395,0.01
863,star,107361,0.34
864,chief,107306,0.31
865,legal,107176,0.08
866,sign,107165,0.07
867,ability,107136,0.01
868,teacher,106917,0.09
869,workers,106868,0.06
870,doctor,106766,0.23
871,amount,106731,0.01
872,die,106633,0.06
873,follow,106496,0.12
874,pick,106370,0.09
875,quality,106362,0.07
876,http,106193,0.01
877,patients,106173,0.05
878,learned,106088,0.02
879,clearly,106055,0.13
880,considered,105913,0.04
881,page,105877,0.16
882,telling,105703,0.03
883,seeing,105651,0.07
884,subject,105183,0.03
885,author,105126,0.21
886,paid,105100,0.02
887,shit,105096,0.22
888,comments,104935,0.14
889,design,104894,0.11
890,behavior,104789,0.05
891,central,104720,0.42
892,families,104444,0.05
893,century,104331,0.10
894,cover,104297,0.09
895,attack,104246,0.03
896,particularly,104067,0.03
897,completely,104010,0.03
898,eight,103906,0.11
899,boys,103690,0.13
900,numbers,103635,0.04
901,fear,103581,0.07
902,allow,103039,0.04
903,success,102983,0.05
904,mrs,102939,0.99
905,hospital,102856,0.21
906,calls,102730,0.02
907,justice,102625,0.46
908,save,102530,0.11
909,herself,102310,0.00
910,bank,102304,0.37
911,growing,102055,0.06
912,member,101546,0.07
913,james,101517,0.99
914,specific,101297,0.02
915,cool,101172,0.15
916,opportunity,101149,0.04
917,size,101018,0.03
918,expect,100989,0.03
919,texas,100975,1.00
920,levels,100896,0.01
921,pass,100722,0.07
922,systems,100709,0.09
923,treatment,100661,0.05
924,iraq,100450,1.00
925,trade,100336,0.17
926,below,100311,0.08
927,wish,100226,0.05
928,drug,100073,0.11
929,sleep,100056,0.07
930,spend,99948,0.03
931,global,99855,0.18
932,various,99848,0.04
933,received,99692,0.01
934,sun,99600,0.30
935,trump,99503,0.98
936,ten,99483,0.24
937,nobody,99126,0.40
938,romney,98987,0.99
939,lose,98956,0.03
940,dog,98925,0.11
941,absolutely,98777,0.30
942,safe,98718,0.06
943,section,98695,0.31
944,events,98690,0.04
945,message,98565,0.03
946,online,98471,0.11
947,trust,98449,0.19
948,married,98360,0.04
949,anyway,98121,0.28
950,effort,98053,0.01
951,allowed,98012,0.01
952,store,97668,0.09
953,eye,97624,0.07
954,republicans,97561,0.96
955,judge,97545,0.32
956,added,97512,0.02
957,except,97484,0.19
958,happens,97452,0.02
959,leaders,97322,0.04
960,costs,96736,0.02
961,ms,96731,0.98
962,plans,96704,0.03
963,build,96616,0.04
964,minute,96580,0.02
965,rules,96574,0.07
966,places,96449,0.03
967,impact,96337,0.05
968,event,96286,0.04
969,pain,96264,0.05
970,image,96054,0.09
971,indeed,95933,0.40
972,necessary,95768,0.01
973,hurt,95335,0.03
974,term,95324,0.02
975,sitting,95305,0.06
976,fast,95274,0.09
977,understanding,95221,0.06
978,passed,95173,0.01
979,committee,95145,0.54
980,send,95142,0.10
981,movement,95103,0.07
982,democratic,95069,0.72
983,original,95045,0.05
984,older,94885,0.04
985,religious,94549,0.06
986,source,94528,0.13
987,provided,94247,0.01
988,showed,94182,0.01
989,l,94172,0.65
990,jack,94112,0.92
991,review,93913,0.26
992,starting,93909,0.08
993,helped,93559,0.01
994,none,93497,0.31
995,ideas,93491,0.04
996,union,93434,0.62
997,management,93144,0.21
998,address,93094,0.05
999,israel,93079,0.99
1000,included,93056,0.02
